Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Mean
436,Geographic Information Systems (GIS),Bachelors,58000.0,93800.0,53.0
438,Atmospheric Science,Bachelors,57300.0,93600.0,56.0
439,Retailing,Bachelors,57300.0,93200.0,35.0
439,Speech Communication,Bachelors,54500.0,93200.0,56.0
439,Visual Effects & Motion Graphics,Bachelors,55900.0,93200.0,38.0
443,Broadcast & Cinematic Arts,Bachelors,49400.0,93000.0,42.0
443,Sports Management,Bachelors,53000.0,93000.0,43.0
445,Bachelor of Science in Nursing,Bachelors,74300.0,92900.0,88.0
445,Landscape Architecture,Bachelors,60600.0,92900.0,66.0
447,Professional Studies,Bachelors,49900.0,92600.0,67.0
448,Diagnostic Medical Ultrasound,Bachelors,78900.0,92500.0,71.0
448,Foreign Languages,Bachelors,56200.0,92500.0,55.0
451,Forestry,Bachelors,54000.0,92200.0,68.0
451,Workforce Education & Development,Bachelors,69100.0,92200.0,77.0
453,Leadership,Bachelors,55600.0,92100.0,54.0
453,Geography,Bachelors,58300.0,92100.0,52.0
455,Global Studies,Bachelors,60400.0,92000.0,47.0
455,Media Arts,Bachelors,52800.0,92000.0,33.0
455,Business Leadership,Bachelors,57600.0,92000.0,42.0
458,English Language,Bachelors,52800.0,91800.0,48.0
459,Agricultural Business,Bachelors,61300.0,91700.0,59.0
460,American Sign Language Interpreting,Bachelors,52700.0,91600.0,85.0
460,Digital Arts,Bachelors,52000.0,91600.0,36.0
460,Human Resources Management (HRM),Bachelors,56100.0,91600.0,55.0
460,Merchandising Management,Bachelors,55800.0,91600.0,48.0
465,Music Performance,Bachelors,53400.0,91500.0,56.0
466,Liberal Arts,Bachelors,54300.0,91400.0,52.0
466,Public Administration,Bachelors,55000.0,91400.0,58.0
466,Geosciences,Bachelors,57800.0,91400.0,62.0
469,Retail Management,Bachelors,62300.0,91300.0,38.0
470,Radio/Television & Film Production,Bachelors,52800.0,91200.0,41.0
471,Fashion Merchandising,Bachelors,55200.0,91000.0,29.0
471,Mass Communication,Bachelors,52400.0,91000.0,44.0
474,Allied Health,Bachelors,51300.0,90700.0,76.0
474,Electronic Media,Bachelors,52200.0,90700.0,38.0
474,Organizational Leadership & Supervision,Bachelors,56200.0,90700.0,51.0
477,Homeland Security,Bachelors,57100.0,90500.0,72.0
477,Arts Management,Bachelors,46400.0,90500.0,47.0
477,Spanish Language,Bachelors,56300.0,90500.0,49.0
480,3D Animation,Bachelors,58400.0,90400.0,43.0
481,Business Management & Administration,Bachelors,60700.0,90300.0,52.0
481,Marine Biology,Bachelors,49800.0,90300.0,63.0
